product_name,description,label,categ_0,reshaped_image_path
Edimax AR-7286WNA,Buy Edimax AR-7286WNA only for Rs. 2445 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,2,computers,sampled_reshaped_images/9a993e1b59649c93f667d38227325066.jpg
De TechInn Flexible wire powered by 13 USB Led Light,Buy De TechInn Flexible wire powered by 13 USB Led Light for Rs.219 online. De TechInn Flexible wire powered by 13 USB Led Light at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,2,computers,sampled_reshaped_images/fffa2117a4006d4a848eb7d5b80d4816.jpg
Smart Wall Guru Large Adhesive Sticker Sticker,"Key Features of Smart Wall Guru Large Adhesive Sticker Sticker Make For Smart Bedroom Study room Looking Awesome Living room Bath room Attractive Guest room Kitchen Easy to Install Easy to Remove Easy To Clean All Wall Decal are front Matte Finish, water resistant & packaged between two layers.,Smart Wall Guru Large Adhesive Sticker Sticker (Pack of 1) Price: Rs. 499 'Smart Wall Guru'' gives u a pure beautiful house with our decoration wall stickers,wall decals & all kind of designs for your home decoration.These stickers are made of self adhesive PVC vinyl and very easy to apply on plane surface. These are the great suppliment of wallpaper,wall color and another decoration method. Thnkss…,Specifications of Smart Wall Guru Large Adhesive Sticker Sticker (Pack of 1) In The Box Number of Contents in Sales Package Pack of 1 Sales Package 1 Sticker General Ideal Use Home, Child Bedroom, Bedroom Brand Smart Wall Guru Scratch-resistant Yes Laminated Yes Type Adhesive Sticker Number of Stickers 1 Size in Number 45.101 cm Material Self Adhesive PVC Vinyl Size Large Dimensions Height 45 cm Width 101 cm",3,home decor & festive needs,sampled_reshaped_images/2414e4b7e5948263b8dbb4843557be4d.jpg
Orange Tree Maxim Wall Decor Set Of 3 Showpiece  -  4 cm,"Orange Tree Maxim Wall Decor Set Of 3 Showpiece  -  4 cm (Iron, Gold)
                         Price: Rs. 1,999
				
			Metal saucer with a hammered look floats a classic round mirror in the center. These set of 3 in ant. Copper plating lets your imagination loose by creating interesting combinations on any wall surface
Metal saucer with a hammered look floats a classic round mirror in the center. These set of 3 in ant. Copper plating lets your imagination loose by creating interesting combinations on any wall surface",3,home decor & festive needs,sampled_reshaped_images/de29bf3288345e23b0e25345a3a057fb.jpg
Bharatcraft Showpiece  -  5 cm,"Key Features of Bharatcraft Showpiece  -  5 cm Polyresin Height - 5 cm Width - 10 cm,Bharatcraft Showpiece  -  5 cm (Polyresin, Brown) Price: Rs. 499 This is an Imperial Golden King Money Frog that is large and heavy. Made of high quality earth material, it suits perfectly the use in Period 8 because earth energy rules the period. This product will be an envy for your peers. The Money Frog is depicted sitting on a bed full of wealth, treasures and ingots. It has a crown on its head to represent its throne and right behind the throne is a bagua.,Specifications of Bharatcraft Showpiece  -  5 cm (Polyresin, Brown) General Brand Bharatcraft Model Number HD10012 Type Fengshui Material Polyresin Color Brown Dimensions Height 5 cm Width 10 cm Depth 7 cm In the Box Sales Package 1 Showpiece Figurine Pack of 1",3,home decor & festive needs,sampled_reshaped_images/f0ab5f12bd777e28a401a728fcb93a4b.jpg
Port Interiordesign Showpiece  -  16 cm,Buy Port Interiordesign Showpiece  -  16 cm for Rs.1699 online. Port Interiordesign Showpiece  -  16 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,3,home decor & festive needs,sampled_reshaped_images/a9b35b94610a3d7f4fa91f19693c5248.jpg
Moonleaf Geometric Cushions Cover,Buy Moonleaf Geometric Cushions Cover at Rs. 199 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,4,home furnishing,sampled_reshaped_images/59247d4024d85bfaf9e48368cba6d870.jpg
Amit Carpet Polyester Medium Door Mat ACI20160340,"Key Features of Amit Carpet Polyester Medium Door Mat ACI20160340 Anti-Slip Backing Good Water Absorber No Color Fading Washable,Amit Carpet Polyester Medium Door Mat ACI20160340 (Pink, 1 Mat) Price: Rs. 549 Tufting is the process of creating textiles, especially carpet, on specialized multi-needle sewing machines. Several hundred needles stitch hundreds of rows of pile yarn tufts through a backing fabric called the primary backing. The needles push yarn through a primary backing fabric, where a loop holds the yarn in place to form a tuft as the needle is removed. The yarn is caught by loopers and held in place for loop-pile carpet or cut by blades for cut-pile carpet. Next, secondary backings of various types are applied to render a variety of performance properties.,Specifications of Amit Carpet Polyester Medium Door Mat ACI20160340 (Pink, 1 Mat) General Brand Amit Carpet Type Door Model Name ACI20160340 Model ID 819868 Color Pink Size Medium Mat Features Bacteria Resistant Yes Material Polyester Water Resistant Yes Dimensions Weight 800 g Length 19 inch / 50 cm Width 19 inch / 50 cm Depth 2 cm In the Box Number of Contents in Sales Package 1 Sales Package 1 Mat",4,home furnishing,sampled_reshaped_images/994f1d8ade16b9fddce3c127eb7f38ed.jpg
Craft Trade Oval Wood Coaster Set,"Key Features of Craft Trade Oval Wood Coaster Set Hand Crafted Antique Coaster Apple Shaped Coaster Set,Craft Trade Oval Wood Coaster Set (Brown, Pack of 6) Price: Rs. 299 ""Decorate your with this amazing handcrafted Apple shaped coaster set of 6. This coaster set has a been inspired by apple design, which will surely make you fall in love with it. This product has been hand crafted by the artists of Rajasthan and is made up of fine quality wood. It comes with an Apple shaped stand to store it on your table and make it look amazing. It has a long life and will protect you table from stains. Authentic hand Crafted Product from craft Trade Artisans. "",Specifications of Craft Trade Oval Wood Coaster Set (Brown, Pack of 6) General Shape Oval Brand Craft Trade Reversible Yes Design Code CT55 Type Coaster Set Material Wood Style Code WD1001 Pattern Self Design Padding Yes, Wood Color Brown Warranty Covered in Warranty 7 days relacement warranty in case of manufacturing defects Dimensions Holder Width 8 cm Weight 230 g Coaster Width 8 cm Holder Height 8 cm Coaster Diameter 8 cm Holder Diameter 8 cm Coaster Length 2 cm Coaster Thickness 2 cm Additional Features Strain Free In the Box Number of Contents in Sales Package Pack of 6 Sales Package 1 Coaster Holder with 6 Coasters",4,home furnishing,sampled_reshaped_images/04f9ff160a1561e3656350f4bd6b8c50.jpg
Frabjous Floral Single Quilts & Comforters Multicolor,"Frabjous Floral Single Quilts & Comforters Multicolor (2 Quits)
                         Price: Rs. 1,499
				
			Lightweight and absorbent, this blanket is ideal to be used on cold winter nights. It has also been printed on both sides so you can delay having to wash it.
Lightweight and absorbent, this blanket is ideal to be used on cold winter nights. It has also been printed on both sides so you can delay having to wash it.",4,home furnishing,sampled_reshaped_images/28401ff0dbc191d34c2f1103e78e082a.jpg
Returnfavors Cartoon shaped Coffee For Kids Ceramic Mug,Buy Returnfavors Cartoon shaped Coffee For Kids Ceramic Mug for Rs.301 online. Returnfavors Cartoon shaped Coffee For Kids Ceramic Mug at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,5,kitchen & dining,sampled_reshaped_images/ffbf3794aa8cb6bb8d3f313d0a549a09.jpg
Rockmantra Colorful Ceramic Mug,"Rockmantra Colorful Ceramic Mug (5.5 l)
                         Price: Rs. 199
				
			Give a thrilling yet fresh start to your day. An exclusive creation by Rockmantra, this mug features porcelain crafting ensuring the design stays permanent for years to come and making it a perfect pick to gift your loved ones too!Dishwasher and microwave safe. Product details and specifications :Material : CeramicSize : 3.5"" X 4""
Give a thrilling yet fresh start to your day. An exclusive creation by Rockmantra, this mug features porcelain crafting ensuring the design stays permanent for years to come and making it a perfect pick to gift your loved ones too!Dishwasher and microwave safe. Product details and specifications :Material : CeramicSize : 3.5"" X 4""",5,kitchen & dining,sampled_reshaped_images/c8f42da0f9f695f07067676eae4135c8.jpg
AKUP keep-calm Ceramic Mug,"Key Features of AKUP keep-calm Ceramic Mug Pack of 1 Mug,AKUP keep-calm Ceramic Mug (300 ml) Price: Rs. 259 AKUP Ceramic coffee mugs gives you the best quality printed mugs which you can gift to your loved ones. We provide good quality of products with packing. Coffee mugs made of ceramic clay with the volume capacity of 300ml each. You can buy it for yourself to make your moment unforgettable forever. Specifications Product Dimensions: Mugs - Height: 9.5 cms, Diameter: 8 cms. Item Type: Coffee Mug Color: Multi-Color Material: Clay Finish: Glossy Specialty: Lovely Style Wash care: Remove dirt by using a soft fabric to clean and then wipe with a moist cloth. Disclaimer: The fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality. Brand: AKUP designs & co,Specifications of AKUP keep-calm Ceramic Mug (300 ml) General Type Mug Mug Capacity 300 ml Material Ceramic Freezer Safe Yes Microwave Safe No Dimensions Diameter 8 mm Weight 330 g Height 9.5 mm Depth 8 mm In the Box Sales Package 1 Mug",5,kitchen & dining,sampled_reshaped_images/3388d05e88972ff9f3e1321dc0cfdc28.jpg
"Prithish Blue & Gold Heart, I Love You Ceramic Mug","Buy Prithish Blue & Gold Heart, I Love You Ceramic Mug for Rs.175 online. Prithish Blue & Gold Heart, I Love You Ceramic Mug at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.",5,kitchen & dining,sampled_reshaped_images/ce2f67c3365846170cb709784d87e45b.jpg
Perucci PCC-501C Decker Analog Watch  - For Men,"Perucci PCC-501C Decker Analog Watch  - For Men - Buy Perucci PCC-501C Decker Analog Watch  - For Men  PCC-501C Online at Rs.2100 in India Only at Flipkart.com. Corporate Watch, Special Wrist Watch, Official Watch, Watch For Men - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",6,watches,sampled_reshaped_images/35b5dfdda9214c94ab15bf5390e07de9.jpg
Disney DW100405 Digital Watch  - For Boys,"Disney DW100405 Digital Watch  - For Boys - Buy Disney DW100405 Digital Watch  - For Boys  DW100405 Online at Rs.1345 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",6,watches,sampled_reshaped_images/7c4fec2331da8d40f2cb146eb198cb57.jpg
"Camerii WM64 Elegance Analog Watch  - For Men, Boys","Camerii WM64 Elegance Analog Watch  - For Men, Boys - Buy Camerii WM64 Elegance Analog Watch  - For Men, Boys  WM64 Online at Rs.449 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",6,watches,sampled_reshaped_images/f355cc1ccb08bd0d283ed979b7ee7515.jpg
Maxima 06362CMGY Gold Analog Watch  - For Men,"Maxima 06362CMGY Gold Analog Watch  - For Men - Buy Maxima 06362CMGY Gold Analog Watch  - For Men  06362CMGY Online at Rs.995 in India Only at Flipkart.com. Water Resistant, Round Dial, Deployment Clasp, Golden Strap - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",6,watches,sampled_reshaped_images/41ae5a7304f3dc1dc8bc2dfc7765ae4d.jpg
